Location Latitude,Location Longitude,value
52.926525,-1.131851,3.0
53.003161,-1.217342,22.0
52.898181,-1.030645,93.0
53.16563,-1.234927,62.0
52.949741,-1.035595,16.0
52.983426,-1.157656,43.0
52.991538,-1.173528,74.0
52.983582,-1.197155,9.0
52.922409,-1.246356,75.0
53.127712,-1.270452,13.0
52.95865,-1.211027,40.0
52.970298,-1.155705,42.0
52.896823,-1.164286,8.0
52.96018,-1.181019,63.0
52.998378,-1.159287,60.0
53.036753,-1.313042,40.0
52.994732,-1.153217,5.0
52.980513,-1.107058,3.0
52.994732,-1.153217,5.0
52.955347,-1.028322,5.0
53.136071,-1.192283,3.0
52.972753,-1.217561,65.0
52.806388,-0.619356,8.0
52.937829,-1.223356,5.0
53.068186,-0.808336,7.0
53.127582,-1.262519,42.0
53.127582,-1.262519,59.0
53.127582,-1.262519,45.0
53.054262,-1.203362,19.0
52.932985,-1.204202,4.0
52.923706,-1.210981,13.0
53.06339,-0.840281,65.0
53.130294,-1.166699,5.0
52.900729,-1.259923,21.0
52.900729,-1.259923,18.0
53.057255,-0.810085,30.0
52.912467,-1.156665,66.0
53.012335,-0.416624,64.0
52.952283,-0.913228,62.0
52.922553,-1.213426,15.0
52.962753,-1.16675,12.0
52.963236,-1.153969,7.0
53.040701,-1.307314,7.0
52.974472,-1.158617,41.0
53.096686,-1.242378,37.0
52.974705,-1.151169,12.0
53.122839,-1.267337,23.0
52.898929,-1.19167,3.0
53.250722,-0.887909,5.0
53.034249,-1.202895,38.0
53.035635,-1.203061,79.0
53.130466,-1.302403,4.0
52.940542,-1.115053,19.0
52.961843,-1.162854,14.0
52.989701,-0.755971,15.0
52.918905,-1.164572,83.0
53.150996,-1.17171,4.0
53.168267,-1.178679,6.0
53.163417,-1.116415,6.0
52.93981,-1.10825,52.0
53.167384,-1.10945,90.0
53.066215,-0.80445,54.0
53.006391,-1.117552,64.0
53.193489,-1.067345,49.0
53.018357,-1.337841,5.0
53.17939,-1.189613,6.0
53.195627,-1.215563,50.0
53.065125,-0.815091,8.0
52.982363,-1.171395,6.0
53.17939,-1.189613,7.0
52.937991,-1.235882,5.0
53.061677,-1.334701,22.0
53.149268,-1.200362,5.0
52.915449,-0.641853,29.0
52.972066,-1.14927,7.0
53.227397,-1.203612,6.0
53.124456,-1.114895,2.0
52.977807,-1.156365,27.0
53.191679,-1.085435,45.0
53.200596,-1.021829,14.0
53.249914,-0.898616,6.0
52.968685,-1.157598,18.0
50.872321,0.25092,60.0
50.815098,-0.382053,20.0
50.824354,0.24076,27.0
50.837225,-0.164715,12.0
50.778066,0.278889,9.0
50.815708,-0.385793,10.0
50.927736,0.019855,11.0
50.817341,-0.509215,62.0
50.812512,-0.379701,36.0
50.836646,-0.16789,8.0
50.844808,-0.149999,29.0
50.807943,-0.447121,20.0
50.856528,-0.151028,96.0
50.808303,-0.444455,25.0
50.835578,-0.168074,15.0
50.804851,-0.541333,6.0
50.77245,0.27768,6.0
50.81617,-0.375713,6.0
50.812895,-0.387267,20.0
50.820027,-0.356981,26.0
50.82745,-0.194747,19.0
50.774984,0.277789,25.0
50.795653,0.274509,30.0
50.779194,0.095524,45.0
50.760735,0.266405,42.0
50.918397,-0.245905,12.0
50.836479,-0.165838,19.0
50.825157,-0.316831,27.0
50.766721,0.111857,30.0
50.808114,-0.068372,77.0
50.777294,0.272781,24.0
50.811662,-0.391057,35.0
50.775474,0.28265,33.0
50.814733,-0.399174,14.0
50.813472,-0.366679,35.0
50.788383,0.004606,18.0
50.822079,0.310608,20.0
50.830841,-0.190143,18.0
50.824988,0.241046,26.0
50.805762,-0.53435,14.0
50.811302,-0.484383,10.0
50.757272,0.27147,14.0
50.811365,-0.365844,24.0
50.822687,-0.61388,40.0
50.823158,-0.307973,10.0
50.757389,0.276552,55.0
50.840828,-0.14233,18.0
50.806337,0.303004,11.0
50.777122,0.270106,10.0
50.7769,0.279173,9.0
50.831038,-0.165312,19.0
50.760479,0.264294,22.0
50.810949,-0.539965,50.0
50.819983,-0.360872,10.0
50.831325,-0.399896,6.0
50.869903,-0.130473,30.0
50.832925,-0.155852,37.0
50.832925,-0.155852,7.0
50.811999,-0.543367,38.0
50.856528,-0.151028,28.0
50.788682,0.309812,28.0
50.757567,0.206019,30.0
50.828079,-0.177342,19.0
50.837851,-0.14154,50.0
50.829639,-0.169017,25.0
50.846253,0.242704,59.0
50.778946,0.276166,20.0
50.76168,0.276491,40.0
50.782577,0.300602,47.0
50.842882,-0.144791,12.0
50.826628,-0.178321,20.0
50.832651,-0.203053,35.0
50.824465,0.241305,34.0
50.81034,0.156408,27.0
50.81895,0.239067,60.0
50.925455,0.165172,36.0
50.832541,-0.241258,15.0
50.776489,0.095857,36.0
50.812895,-0.387267,28.0
50.815712,-0.382812,26.0
50.85677,-0.163152,15.0
50.93172,0.132913,30.0
50.836117,-0.16686,30.0
50.836474,-0.409419,3.0
50.933522,-0.27962,48.0
50.82236,-0.396709,20.0
50.802481,0.313757,3.0
50.802481,0.313757,4.0
50.878336,-0.294091,23.0
50.813827,-0.360438,10.0
50.806219,-0.510818,39.0
50.820507,-0.357205,8.0
50.816623,-0.384371,20.0
50.769694,0.276951,24.0
50.768698,0.278221,17.0
50.833956,-0.242114,18.0
50.831767,-0.338832,20.0
50.829212,-0.421665,28.0
50.831038,-0.413055,20.0
50.835638,-0.160999,31.0
50.8305,-0.178952,26.0
50.814306,-0.381981,26.0
50.806605,-0.540639,35.0
