Location Latitude,Location Longitude,Cluster
52.896823,-1.164286,2
52.96018,-1.181019,2
52.998378,-1.159287,2
53.036753,-1.313042,2
52.994732,-1.153217,2
52.980513,-1.107058,2
52.994732,-1.153217,2
52.955347,-1.028322,2
53.136071,-1.192283,2
52.972753,-1.217561,2
52.806388,-0.619356,2
52.937829,-1.223356,2
53.068186,-0.808336,2
53.127582,-1.262519,2
53.127582,-1.262519,2
53.127582,-1.262519,2
53.054262,-1.203362,2
52.932985,-1.204202,2
52.923706,-1.210981,2
53.06339,-0.840281,2
53.130294,-1.166699,2
52.900729,-1.259923,2
52.900729,-1.259923,2
53.057255,-0.810085,2
52.912467,-1.156665,2
53.012335,-0.416624,2
52.952283,-0.913228,2
52.922553,-1.213426,2
52.962753,-1.16675,2
52.963236,-1.153969,2
53.040701,-1.307314,2
52.974472,-1.158617,2
53.096686,-1.242378,2
52.974705,-1.151169,2
53.122839,-1.267337,2
52.898929,-1.19167,2
53.250722,-0.887909,0
53.034249,-1.202895,2
53.035635,-1.203061,2
53.130466,-1.302403,2
52.940542,-1.115053,2
52.961843,-1.162854,2
52.989701,-0.755971,2
52.918905,-1.164572,2
53.150996,-1.17171,2
53.168267,-1.178679,2
53.163417,-1.116415,2
52.93981,-1.10825,2
53.167384,-1.10945,2
53.066215,-0.80445,2
53.006391,-1.117552,2
53.193489,-1.067345,0
53.018357,-1.337841,2
53.17939,-1.189613,0
53.195627,-1.215563,0
53.065125,-0.815091,2
52.982363,-1.171395,2
53.17939,-1.189613,0
52.937991,-1.235882,2
53.061677,-1.334701,2
53.149268,-1.200362,2
52.915449,-0.641853,2
52.972066,-1.14927,2
53.227397,-1.203612,0
53.124456,-1.114895,2
52.977807,-1.156365,2
53.191679,-1.085435,0
53.200596,-1.021829,0
53.249914,-0.898616,0
52.968685,-1.157598,2
50.872321,0.25092,1
50.815098,-0.382053,1
50.824354,0.24076,1
50.837225,-0.164715,1
50.778066,0.278889,1
50.815708,-0.385793,1
50.927736,0.019855,1
50.817341,-0.509215,1
50.812512,-0.379701,1
50.836646,-0.16789,1
50.844808,-0.149999,1
50.807943,-0.447121,1
50.856528,-0.151028,1
50.808303,-0.444455,1
50.835578,-0.168074,1
50.804851,-0.541333,1
50.77245,0.27768,1
50.81617,-0.375713,1
50.812895,-0.387267,1
50.820027,-0.356981,1
50.82745,-0.194747,1
50.774984,0.277789,1
50.795653,0.274509,1
50.779194,0.095524,1
50.760735,0.266405,1
50.918397,-0.245905,1
50.836479,-0.165838,1
50.825157,-0.316831,1
50.766721,0.111857,1
50.808114,-0.068372,1
50.777294,0.272781,1
50.811662,-0.391057,1
50.775474,0.28265,1
50.814733,-0.399174,1
50.813472,-0.366679,1
50.788383,0.004606,1
50.822079,0.310608,1
50.830841,-0.190143,1
50.824988,0.241046,1
50.805762,-0.53435,1
50.811302,-0.484383,1
50.757272,0.27147,1
50.811365,-0.365844,1
50.822687,-0.61388,1
50.823158,-0.307973,1
